movie_name,director,actor,nation,genre,time_m,release_date,end_date,description,date,show_time,theater_name,location_name,booked_seats,avaiable_seats,Date_crawl
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,14:00,Cinestar Bình Dương(Sinh Viên),"Nhà văn hóa sinh viên, Đại học Quốc gia HCM, P.Đông Hòa,Dĩ An,Bình Dương",0,0,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,12:20,Cinestar Đà Lạt,"Quảng trường Lâm Viên, P10, TP.Đà Lạt, Lâm Đồng",0,0,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,18:00,Cinestar Bình Dương(Sinh Viên),"Nhà văn hóa sinh viên, Đại học Quốc gia HCM, P.Đông Hòa,Dĩ An,Bình Dương",0,0,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,22:05,Cinestar Quốc Thanh,"271 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh",0,252,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,08:40,Cinestar Quốc Thanh,"271 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh",0,323,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,16:00,Cinestar Bình Dương(Sinh Viên),"Nhà văn hóa sinh viên, Đại học Quốc gia HCM, P.Đông Hòa,Dĩ An,Bình Dương",0,0,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,21:00,Cinestar Quốc Thanh,"271 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh",0,153,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,09:45,Cinestar Bình Dương(Sinh Viên),"Nhà văn hóa sinh viên, Đại học Quốc gia HCM, P.Đông Hòa,Dĩ An,Bình Dương",0,0,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,13:05,Cinestar Hai Bà Trưng (TP.HCM),"135 Hai Bà Trưng, Phường Bến Nghé ,Quận 1,Thành Phố Hồ Chí Minh",0,0,2024-11-29
HÀNH TRÌNH CỦA MOANA 2 (2D) PĐ,David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk",Khác,"Hoạt hình, Phiêu Lưu",100,11/30/2024 12:00:00 AM,12/22/2024 12:00:00 AM,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu.",01/12/2024,11:10,Cinestar Bình Dương(Sinh Viên),"Nhà văn hóa sinh viên, Đại học Quốc gia HCM, P.Đông Hòa,Dĩ An,Bình Dương",0,0,2024-11-29
